date,adm1_code,data,prediction,split,forecast_step
2022-06-01,900218,0.4653914725862407,0.47518202883066873,1,1
2022-06-02,900218,0.4569703353323291,0.47484068656012357,1,2
2022-06-03,900218,0.456967740107872,0.4766395794698668,1,3
2022-06-04,900218,0.4596376874623492,0.4773755404734842,1,4
2022-06-05,900218,0.4671321489028471,0.49356205993141294,1,5
2022-06-06,900218,0.4571973301790946,0.49281931934474155,1,6
2022-06-07,900218,0.4555525281430008,0.4850500470927738,1,7
2022-06-08,900218,0.4627831316185018,0.4818751721202654,1,8
2022-06-09,900218,0.4647608702132502,0.505067190884289,1,9
2022-06-10,900218,0.4742965714661102,0.48625828440931224,1,10
2022-06-11,900218,0.4790429713035077,0.48691124002003344,1,11
2022-06-12,900218,0.4845452058734892,0.4824143374088794,1,12
2022-06-13,900218,0.4892812596871543,0.5061563954305599,1,13
2022-06-14,900218,0.4943740314334199,0.4958915531545771,1,14
2022-06-15,900218,0.532828820980028,0.4966539902007283,1,15
2022-06-16,900218,0.5106969621793017,0.4860558393840515,1,16
2022-06-17,900218,0.51724240106857,0.509384463944704,1,17
2022-06-18,900218,0.4990072554545931,0.5023657375898114,1,18
2022-06-19,900218,0.475953880513264,0.49227936009104944,1,19
2022-06-20,900218,0.4740370691693986,0.5021564537184817,1,20
2022-06-21,900218,0.4785735024068139,0.5186112319133528,1,21
2022-06-22,900218,0.4885512793428045,0.5225268908479541,1,22
2022-06-23,900218,0.4982851647641101,0.5027396223307271,1,23
2022-06-24,900218,0.4982843557567809,0.5076488186217449,1,24
2022-06-25,900218,0.4982853485460546,0.4980769521182472,1,25
2022-06-26,900218,0.4982847454755346,0.5214780935087002,1,26
2022-06-27,900218,0.505071864091702,0.49766924913125693,1,27
2022-06-28,900218,0.5050711652665577,0.5056657618418852,1,28
2022-06-29,900218,0.5050732218660187,0.5155116115444589,1,29
2022-06-30,900218,0.5116793187098945,0.5271674563435115,1,30
2022-07-01,900218,0.5116830508566685,0.5085660000720501,1,31
2022-07-02,900218,0.4982203020346308,0.5115509513269629,1,32
2022-07-03,900218,0.5174465096466003,0.5106911637498871,1,33
2022-07-04,900218,0.5186087293464368,0.5372712599418064,1,34
2022-07-05,900218,0.5217360968420777,0.512584734796258,1,35
2022-07-06,900218,0.5197437799705262,0.5040165304272555,1,36
2022-07-07,900218,0.5514407184832109,0.5142541264769289,1,37
2022-07-08,900218,0.5652171568091946,0.529332200474083,1,38
2022-07-09,900218,0.5415149931454252,0.5483515577787095,1,39
2022-07-10,900218,0.5361192553409521,0.5331270172852011,1,40
2022-07-11,900218,0.5361193904648839,0.514412829428693,1,41
2022-07-12,900218,0.5084745260380797,0.5226362169859882,1,42
2022-07-13,900218,0.5162799307703011,0.5222738890846899,1,43
2022-07-14,900218,0.5162791767319445,0.5232571792670813,1,44
2022-07-15,900218,0.5303014860310423,0.5248766790235586,1,45
2022-07-16,900218,0.550000289922796,0.5527117490870558,1,46
2022-07-17,900218,0.5322557156307702,0.5465843776412826,1,47
2022-07-18,900218,0.5277784475226667,0.5496681691351892,1,48
2022-07-19,900218,0.5342475899465885,0.5498873469590714,1,49
2022-07-20,900218,0.5063279904963249,0.5562299368049117,1,50
2022-07-21,900218,0.5629922969207658,0.5465699709883857,1,51
2022-07-22,900218,0.5697232108976108,0.5385221753882037,1,52
2022-07-23,900218,0.5697211115347142,0.5201784916203871,1,53
2022-07-24,900218,0.5909075516308923,0.5069774554542208,1,54
2022-07-25,900218,0.6076912497604968,0.5374493075345572,1,55
2022-07-26,900218,0.604979593102926,0.5266633900781816,1,56
2022-07-27,900218,0.6148669769288138,0.5479042051501588,1,57
2022-07-28,900218,0.6046507088074389,0.51387471715719,1,58
2022-07-29,900218,0.604653298571615,0.5249244036215619,1,59
2022-06-01,900219,0.546228838234097,0.5517925069856069,1,1
2022-06-02,900219,0.554888743854587,0.5514288386771913,1,2
2022-06-03,900219,0.5548900711070202,0.5493860324691986,1,3
2022-06-04,900219,0.5624384974655664,0.5557254973740335,1,4
2022-06-05,900219,0.5483836809559895,0.5543711367457738,1,5
2022-06-06,900219,0.5522650470634125,0.5534601341776308,1,6
2022-06-07,900219,0.5547894415444626,0.5625731469492066,1,7
2022-06-08,900219,0.5479157130603446,0.5586793463694202,1,8
2022-06-09,900219,0.5601133215059922,0.5666547994943256,1,9
2022-06-10,900219,0.5629203573073337,0.5612405865502554,1,10
2022-06-11,900219,0.5511466291568604,0.5663967399839442,1,11
2022-06-12,900219,0.5322705431361083,0.5750831864620463,1,12
2022-06-13,900219,0.5301837694494571,0.56439467097651,1,13
2022-06-14,900219,0.5212672421515728,0.5609956058989346,1,14
2022-06-15,900219,0.513086046752929,0.5720672812803751,1,15
2022-06-16,900219,0.527296287861009,0.5822567434036194,1,16
2022-06-17,900219,0.5351719727199681,0.5840703351078222,1,17
2022-06-18,900219,0.5551698313231014,0.5663613101505355,1,18
2022-06-19,900219,0.5507321012419922,0.5781998424209004,1,19
2022-06-20,900219,0.5524167889177417,0.5762305714927012,1,20
2022-06-21,900219,0.5675806771409677,0.5819536315131439,1,21
2022-06-22,900219,0.5675778983791189,0.5755515601361738,1,22
2022-06-23,900219,0.5764842580658384,0.5971018116355782,1,23
2022-06-24,900219,0.5764853228559169,0.5913022868607793,1,24
2022-06-25,900219,0.5764817865512231,0.5965433729417023,1,25
2022-06-26,900219,0.5764865508048723,0.5817943800934386,1,26
2022-06-27,900219,0.5730659373914634,0.6053850676574506,1,27
2022-06-28,900219,0.5730658311461094,0.5915898277259981,1,28
