,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,PEWI,PEWI,PEWI,PEWI,PEWI,PEWI,PEWI,PEWI,PEWI,rainfall,rainfall,rainfall,rainfall,rainfall,rainfall,rainfall,rainfall,rainfall,log rainfall 3 months anomaly,log rainfall 3 months anomaly,log rainfall 3 months anomaly,log rainfall 3 months anomaly,log rainfall 3 months anomaly,log rainfall 3 months anomaly,log rainfall 3 months anomaly,log rainfall 3 months anomaly,log rainfall 3 months anomaly,log rainfall 1 month anomaly,log rainfall 1 month anomaly,log rainfall 1 month anomaly,log rainfall 1 month anomaly,log rainfall 1 month anomaly,log rainfall 1 month anomaly,log rainfall 1 month anomaly,log rainfall 1 month anomaly,log rainfall 1 month anomaly,NDVI,NDVI,NDVI,NDVI,NDVI,NDVI,NDVI,NDVI,NDVI,log NDVI anomaly,log NDVI anomaly,log NDVI anomaly,log NDVI anomaly,log NDVI anomaly,log NDVI anomaly,log NDVI anomaly,log NDVI anomaly,log NDVI anomaly,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,CE official,headline inflation,food inflation,Battles,Battles,Battles,Battles,Battles,Battles,Battles,Battles,Battles,Violence against civilians,Violence against civilians,Violence against civilians,Violence against civilians,Violence against civilians,Violence against civilians,Violence against civilians,Violence against civilians,Violence against civilians,Remote violence,Remote violence,Remote violence,Remote violence,Remote violence,Remote violence,Remote violence,Remote violence,Remote violence,Ramadan,day of the year
,1926,1927,1928,1929,1930,1931,1932,1933,1934,1926,1927,1928,1929,1930,1931,1932,1933,1934,1926,1927,1928,1929,1930,1931,1932,1933,1934,1926,1927,1928,1929,1930,1931,1932,1933,1934,1926,1927,1928,1929,1930,1931,1932,1933,1934,1926,1927,1928,1929,1930,1931,1932,1933,1934,1926,1927,1928,1929,1930,1931,1932,1933,1934,1926,1927,1928,1929,1930,1931,1932,1933,1934,1926,1927,1928,1929,1930,1931,1932,1933,1934,national,national,national,1926,1927,1928,1929,1930,1931,1932,1933,1934,1926,1927,1928,1929,1930,1931,1932,1933,1934,1926,1927,1928,1929,1930,1931,1932,1933,1934,national,national
2020-05-05,0.5411967858681869,0.5863887455579518,0.5909943856495556,0.2913511140108742,0.594128410350713,0.5445231101365842,0.4680673875655445,0.5873408487159824,0.6645080302355036,0.2754147343267087,0.4640016102001452,0.2716963233375783,0.4127463222351348,0.206720658709398,0.3792446793352491,0.2435647532570674,0.1398731970433704,0.664507264327503,-0.9163475035599636,0.5682151372587344,-0.2557712088978099,1.4159588695712797,-0.6103287757209802,0.1325671216177611,-0.8344968637794361,-0.7489085246271171,-0.2015527203192577,7.110994138414441,0.4420863738249685,2.9478077017466044,0.4126798800406467,4.049336639584985,1.1852393762311573,1.9644881027811176,16.63741556595147,0.1513858856093356,-0.3277449283226163,-0.0124343599314882,-0.1461727868559242,-0.0032182903204187,-0.1100389611618668,-0.013592976636676,-0.091752821353412,-0.0594743704080019,0.0369049551970192,-0.330579473958964,-0.0125657058146793,-0.1446860771061481,-0.0008337548073263,-0.1380628714515549,-0.0574791794123648,-0.1775660917647796,-0.1024432005168239,0.0301063742301998,0.2134979039907058,0.1235004364802258,0.2563011246302395,0.1084987734243605,0.2513997106265021,0.1766976588401115,0.2084999058080411,0.3838053140256859,0.1087983531689129,-0.0178899520044385,0.0218916623212406,0.0285450593865264,0.0145590811377353,0.0233956628076724,0.0285991994711216,0.0360834329748845,-0.0293542251291412,0.0092637490423686,0.9999970628173028,-4.901944422731015e-07,-4.311471513883626e-06,-3.797936281842154e-06,3.841859900551214e-06,4.628154776783569e-06,4.646529850440266e-06,1.000002499740513,-1.3316642469214223e-06,598.6998030290107,-1.4483645680312809,0.3741506431874417,-0.0006300871248342,108.99905067207033,2.0001002412575604,1.0005343833812246,2.998944151165659,453.0007608681474,16.999925416162046,2.000562833897277,60.99985660857916,2.000498452795456,28.999448707323392,-0.0002982731207978,0.0005711430668067,-0.0001696914293007,311.99980806226824,31.000606027353257,0.0001339065649486,21.000514474418715,0.00014244341689,50.99998288445979,-0.0001728129215737,-0.0001467466824867,0.0002754786910769,7.000045421972892,20.00001349495752,0.0001098822909069,45.99994221664068,0.9999988731536036,125.9994860705714
2020-05-06,0.574371523464709,0.6244683067592222,0.6038888975235409,0.2926846219006374,0.6082500043057234,0.5643285775095259,0.4738220484351763,0.5824084381247562,0.6571898113010892,0.2918671800800584,0.511203206015246,0.2981936932652791,0.4329264845998866,0.2146946554185957,0.39809065205892,0.2596893029774716,0.1204995442289149,0.6835590075697872,-0.9206672471169152,0.5702603614883629,-0.2579279540405058,1.449806099510953,-0.6110590544826845,0.1456479384606367,-0.8357112719151473,-0.7509715805319422,-0.1883082438533903,8.167463059821545,0.4567864371953322,3.619321098006631,0.433625702544109,4.617866021687971,1.3123324390736897,2.067073168706466,18.090097260638327,0.1566642152858132,-0.3241111693377665,-0.0134859914320527,-0.1353131113254836,-0.0035021779780434,-0.1126989854700364,-0.0223685495395714,-0.1101583259103745,-0.056619526157501,0.0348149622170019,-0.3336964941260086,-0.0134190111754988,-0.1330693509818097,-0.0011369683478652,-0.1477741497771817,-0.0732629290733525,-0.2075296256596235,-0.1036233061791167,0.0264773109398327,0.2142895803572198,0.1235219485704382,0.2571385148919004,0.1084432443190675,0.2518188762803068,0.1766709323294538,0.2084617451093645,0.3856705434624131,0.1087685386902703,-0.0185794004916547,0.0228334402461224,0.0275766447407056,0.0147773416140545,0.021756288520018,0.0291200711362485,0.0358337553330432,-0.0299301960387856,0.0092180594080988,0.9999907058606136,-5.653591204560939e-06,7.641875043712632e-06,5.527920254567697e-06,9.53031236576803e-06,-4.46863793961608e-06,3.6433909429843832e-06,1.000004241500002,1.1109548579008128e-06,601.5595227044996,-1.4257895257320676,0.4129105339533073,0.0011247974352802,109.00000837695563,1.9994993164424528,1.0002773548803914,3.000077769736944,418.9996697412048,16.99947356171188,2.000716489183326,60.9999306002774,2.0011864182809207,26.001139962996927,-0.0009486999620356,-0.0005209987738932,-0.0001521867810749,291.99993171667285,31.000632399147385,-0.0001116342228831,21.99956247731358,1.8353802316047887e-05,35.999919482198344,0.0002933623537034,3.3528996883107e-05,2.619650596087863e-05,6.999839889160534,19.999558890070848,0.0002756315414135,46.00004005542941,0.9999976463088373,126.99828773467247
2020-05-07,0.5507942030485914,0.6139474078021823,0.587809200544793,0.2926846820713358,0.5766939256660827,0.5484080960773433,0.4818023693098993,0.6011565235912305,0.6571897917562849,0.3100629243662958,0.4881727426411399,0.2870531147071122,0.4329266093206851,0.1812755999411222,0.4356689752321971,0.2705060528324028,0.1348780072321377,0.683558299961583,-0.9249289478452288,0.5722922727661942,-0.2600910439791241,1.4836612051647238,-0.6117965111580921,0.1587400670184079,-0.8369270160184793,-0.7530357865087454,-0.1750890024561823,9.222129184168434,0.4707178709559105,4.290227849331992,0.4544505005452678,5.186891094208415,1.4397126604279336,2.1693704009349903,19.54234823788137,0.1634183221980876,-0.3204743980664461,-0.0145341000013668,-0.1244531776097283,-0.0037891690480965,-0.1153557300622272,-0.0311378164101696,-0.1285652494471637,-0.0537714640093008,0.0327212101277315,-0.3368174188777357,-0.0142741668371903,-0.1214557244639343,-0.0014346342542398,-0.1574871772568913,-0.0890471943229679,-0.2374946608561303,-0.1048014523351594,0.0228503935300584,0.2150789699355904,0.1235379947657408,0.2579809465076851,0.1083790034938639,0.2522382630383072,0.1766380708009025,0.2084204404180054,0.3875427631332513,0.1087419767423824,-0.0192689173214852,0.0237765570483334,0.0266076286507481,0.0149974764734407,0.0201158609063147,0.0296411282228048,0.0355859116311429,-0.0305074530533172,0.0091722097870237,1.0000010638732029,1.6098130817151084e-06,-2.8761149700487524e-06,1.8446373747325002e-07,-6.904902580972398e-06,-7.293291776223046e-07,-6.867935236264504e-06,1.0000018334735417,-3.477414357799136e-06,601.9701354564489,-1.4031970034208283,0.4515162034205887,0.0006342980965538,109.00011201478992,2.000045194144747,0.999954796927432,3.0003791453695623,419.0004051802424,16.99997577991167,2.000401996698363,61.00094633277985,2.000861803378615,36.001169730018454,-0.0003591866982524,0.0007332094488524,-0.0006846935076557,292.00024799407623,30.999255872548197,-4.938248920856079e-05,21.999627076485982,-3.782920867187718e-05,26.00005659122576,0.0003118061631219,-3.113511027607206e-05,1.7902250353597231e-06,7.000063443401867,20.00003167002918,4.00534763955412e-05,32.00027077736401,0.999998978631194,128.00009998835162
2020-05-08,0.5534008849503408,0.621025179377988,0.6044543569184118,0.3018867987128038,0.5912516850676491,0.518350434047602,0.4427734199572686,0.5788711324058881,0.6571899723103855,0.3156883849237765,0.4975570618122955,0.2738388713193069,0.4465410368721902,0.1756438671295137,0.4500983741282018,0.2699432137391137,0.1443542487230098,0.6835563961307125,-0.92922809095474,0.574315075203718,-0.2622320542224412,1.5174872664828762,-0.6125068417924447,0.1718149731243215,-0.8381399592004537,-0.7551019188060647,-0.1618551890339634,10.277613077735266,0.485402351121533,4.9618495291528015,0.4750017049973429,5.755032571264965,1.5664818043125883,2.272397388681273,20.99503742023752,0.1695146625195683,-0.3168370446266538,-0.0155746910361156,-0.1135877436314824,-0.004078255948508,-0.1180143395132699,-0.0399153505416266,-0.1469681847167705,-0.0509184051438974,0.030633157558378,-0.3399369306131213,-0.0151218563782121,-0.1098413946358419,-0.001735133839427,-0.1671974617690832,-0.1048309381293192,-0.2674588278073514,-0.1059830922326227,0.0192228326979022,0.2158696986924783,0.1235593718636413,0.2588181574670157,0.1083217779693581,0.2526601128366795,0.1766086797649727,0.208379615093612,0.3894082239031209,0.1087100586696997,-0.0199576101267114,0.0247174860875129,0.0256409272973398,0.0152152230998966,0.0184770728244749,0.0301634896498895,0.0353369368698549,-0.031083713670643,0.0091264458051771,1.000001608427582,1.8355678894587257e-07,7.492819235497058e-06,-1.1620010775520705e-06,8.833435604553938e-06,-1.6001036290795752e-06,2.4634832869074657e-06,1.0000021270024495,2.699164210422217e-06,601.6998218671798,-1.380636075580242,0.4903013984525713,-0.0008391267666242,109.00019425874248,1.9995665318147944,0.9994462580548388,2.998865773777043,417.00024273442807,16.999818375683265,1.9999556482555636,61.000308956848045,2.0004909700337103,32.00091932436612,-0.0001528704164729,-0.0010260874961094,-0.0001483319130643,291.9988732830444,30.999480705110848,-0.0010078994928913,22.000056206067804,-0.0002157610625811,26.0000726310497,-1.3506382705941904e-05,-6.952668203816969e-05,-8.024086022987443e-05,6.999935501661067,20.000198994704885,3.839800140032866e-05,31.99998731859292,0.9999976199682556,128.999279480039
2020-05-09,0.5624982073553182,0.601541738442565,0.6242413512926198,0.3168316219608603,0.6015122416906642,0.5260682474435702,0.3987275548822804,0.5432974829349575,0.6547849830624491,0.3240713895187715,0.5102866074319173,0.2929289646151028,0.4191441930606904,0.1676426312374289,0.5327537080879787,0.280253680819427,0.1581995350273484,0.7004411768887859,-0.933524668856732,0.57635526275512,-0.2643957299103329,1.551330534134303,-0.613237216606483,0.1849212932037063,-0.8393539459244933,-0.7571404660295135,-0.1486189166122114,11.333592393102789,0.4998287137511918,5.632699645421162,0.4960119157358503,6.323536059438847,1.694223136740146,2.3748610904439067,22.44767388177645,0.1757832792969256,-0.3132058138947909,-0.0166245596272852,-0.1027267792711674,-0.00436066340532,-0.1206742531302166,-0.0486836539615228,-0.1653746224402036,-0.0480648340151357,0.0285413721106017,-0.3430598072149606,-0.0159757748043859,-0.0982278139201071,-0.0020320257351424,-0.1769074130249515,-0.1206139200407186,-0.2974196680172095,-0.1071633912471252,0.0155983816976898,0.2166583078818582,0.1235808557135249,0.2596585730273335,0.1082611293635543,0.2530801487897096,0.1765803435607296,0.2083403289111758,0.3912807279498558,0.108680846552527,-0.0206479589840076,0.0256608353331295,0.0246748532661403,0.0154349856245279,0.016838651680389,0.030684243920263,0.0350874636723023,-0.0316599074672325,0.0090808741982881,1.000003850148668,-2.344578192423248e-06,2.033016763463613e-06,-8.020933654940598e-06,-2.615462901665719e-06,-1.638287947154698e-06,5.5650280914802605e-06,0.9999927243631233,3.457522944986509e-06,601.7937631478907,-1.3581036905364114,0.5290626787951879,0.0003267668066373,107.00007777374378,2.001423621971833,0.9997649759695988,2.9997446117500592,417.00016264917934,12.999294916808331,1.999494287657632,60.99995296799856,2.0005643029173314,31.999679355068167,0.0005561228018734,0.0009900299007496,-3.809500680835544e-05,291.9996880231095,27.99859021979077,0.0005797709399305,22.000730949578983,-3.123411632821725e-05,25.99989188636889,-1.7811948976044294e-05,3.654027135528575e-05,0.0003278846536874,6.999774447935685,20.0001338554388,2.3033006668447144e-05,31.99976273544732,0.99999957029358,130.00134022207823
2020-05-10,0.562501788554191,0.5924030251123317,0.6161855281942233,0.3168286373274849,0.599424508864445,0.5222301530660753,0.4343438387167057,0.543291699917607,0.6547807620008774,0.3240752066647316,0.502531525576658,0.2910296258306933,0.4191400666848962,0.1658828405721076,0.5288657775747153,0.2777773032690891,0.1582016271861963,0.7004403034677593,-0.937803188901606,0.578382645018277,-0.2665457750694415,1.5851653916052395,-0.6139637576545913,0.1980048824937293,-0.8405504255102852,-0.7592206331071738,-0.1353920724235308,12.38912792544133,0.5142185723543522,6.304041712079451,0.5169587574134519,6.892035072073083,1.821460010449259,2.476876149648435,23.899928986898576,0.1819677835413088,-0.3095690037490796,-0.0176735204081134,-0.0918677302009402,-0.0046476549196123,-0.123331360573164,-0.0574583395276451,-0.1837791080208791,-0.0452157042571729,0.0264506194664635,-0.346180880119492,-0.0168268831838476,-0.0866150799805975,-0.0023351441819015,-0.186622055546469,-0.1363979341541978,-0.3273849776404826,-0.1083423293868929,0.011967517183474,0.2174492330794963,0.1235956411540475,0.2604980385558371,0.1082014534997552,0.2534991380293637,0.1765496234581512,0.208301651269516,0.3931502960633465,0.1086497958345849,-0.0213361565420148,0.0266041382921764,0.023706792830853,0.0156547939998676,0.0151984266246398,0.0312051980051565,0.0348399110066606,-0.0322371603507301,0.0090337776682302,0.9999968405610478,-6.6117034758537285e-06,0.9999989709458168,2.0972390315208586e-06,1.00000363266715,-4.828331333134744e-06,1.000003554244949,1.0000004522281776,7.644968227605577e-06,601.8869616148089,-1.3354757355960816,0.5676918352061768,0.0005137448860249,106.99983441009852,1.9996693292788168,0.9996274330123116,3.0003559272914218,417.0000898610165,2.9999865968887502,1.9990544098499428,60.99880683356098,2.0004600073050542,32.00001660440497,-3.513805262826625e-05,-0.0013980780599918,0.0012663949345695,298.0008545790067,27.99933700154609,-0.0009809564063659,22.00004349274832,-1.305633463476847e-05,26.000286643854167,6.382139775868943e-05,3.000017960541704,-7.453133683495711e-05,7.999919530867019,-0.0001809050701323,-0.0001283599821625,31.99995883327522,0.9999984742555638,130.9997019545208
2020-05-11,0.5750484927432121,0.5980855014238918,0.6432708805636577,0.3168288066906312,0.6182410669271831,0.5404160712897029,0.4399981467823905,0.5324171937074663,0.6462866839651351,0.3197175060252727,0.5073487592708419,0.3067096697125909,0.4191424765452923,0.1651071095550424,0.546937656005027,0.2764724069315288,0.1648771091912017,0.6930656116977983,-0.9420838080324972,0.5804076414235728,-0.2687004631288996,1.6190051614715315,-0.6147043180724178,0.2110858217399079,-0.8417700464745302,-0.761280996375002,-0.1221811887910507,13.444255075981667,0.5281331752728874,6.975452906764583,0.5377896645295966,7.460207396461934,1.9482227660274016,2.5792359558907814,25.35226144804479,0.1880518676112726,-0.3059336290713972,-0.0187225815086501,-0.0810063264914399,-0.0049367942382728,-0.1259949405185916,-0.0662322710471215,-0.2021826502355367,-0.0423576857666404,0.0243586995162257,-0.349299373533329,-0.0176772694560531,-0.0749960210494702,-0.002636656772158,-0.1963382718427044,-0.1521796230694747,-0.3573440184968333,-0.1095222980229327,0.0083376467155768,0.2182410196967249,0.1236185045975764,0.2613403114704093,0.1081380633874144,0.2539233948338789,0.1765190013971611,0.2082588217073537,0.395022442102529,0.1086185104609934,-0.0220266509555017,0.0275459290468068,0.022738951694481,0.0158738043559097,0.0135592474209075,0.0317249817526694,0.0345907998022296,-0.0328133685895006,0.0089886382629178,1.0000023232232622,1.5120227397497528e-05,0.9999993192225646,-2.7571262535119493e-06,0.9999920819332178,2.258589653568223e-06,0.9999984285002116,1.0000124527613818,4.088771598847686e-06,601.9799137502481,-1.3128966293331377,0.6064665583993947,0.0006152476974087,116.99985208329376,2.0008286402298934,1.0000913960911164,2.999866048594924,417.0004226890021,2.999545772852223,1.9998416130564023,61.00028276280807,1.9992525274861517,32.000185214419545,0.0009065995310573,0.000129649895329,-0.000106899223899,297.999842407578,23.000006813241296,0.0007903278911497,22.000091544826734,-8.851844628209745e-05,25.99997422005636,6.778211012552253e-05,3.0000757196755456,0.0001551560409046,8.000008937449604,-9.987785602927683e-05,-0.0001171933770722,32.00011234325194,1.0000006459534838,132.0028376689186
2020-05-12,0.5719874537482224,0.5630952933416983,0.6294285161117482,0.3168308340284196,0.6148046599719369,0.5457450741489367,0.4805890924023724,0.5363156944788128,0.6502599235357004,0.3218792730407253,0.4730497651024896,0.3162536595783958,0.4191403495423365,0.1653424019341347,0.5483240822247752,0.3082321005581209,0.1719975289950145,0.7006765096620142,-0.9463874371158896,0.5824590134926031,-0.27084322855616,1.6528521691245883,-0.6154313120550821,0.2241794066029142,-0.8429822967693421,-0.7633400659826393,-0.1089540983946209,14.500468424432029,0.5429378043145263,7.646568231184884,0.557873525467846,8.029287770615188,2.075263603796779,2.682391791775122,26.80616068724672,0.1942606928608105,-0.3022977173497079,-0.0197693173588592,-0.0701453116634809,-0.0052219419256215,-0.1286552236019314,-0.0750014885983972,-0.2205836725252084,-0.0395096176603238,0.0222702018013051,-0.3524227418418079,-0.0185308152021537,-0.0633812896811198,-0.0029355979321843,-0.2060523007191022,-0.167966170202869,-0.3873097309152991,-0.1107035910330236,0.0047111748859154,0.2190278867454702,0.1236421442705211,0.2621799592998435,0.1080812514142104,0.2543405642253714,0.1764895503481846,0.2082224714019302,0.3968884113515853,0.1085901363167217,-0.022715770106733,0.0284876694574733,0.0217723527645048,0.0160934720490957,0.0119189861436195,0.0322462341770556,0.0343413150538996,-0.0333910517218797,0.0089416152199753,0.9999997356684148,-8.968970776072848e-06,1.0000002945517117,-4.743506720314761e-07,0.9999976402578632,-2.6491256884632764e-06,1.0000095581819668,1.0000035271232812,1.972889258482972e-06,602.0390997749399,-1.2902745751335385,0.6451462624433036,-5.401299634737679e-05,116.99923389778584,1.9992842607089945,1.0006074845306343,2.999898842478792,406.9983164177328,3.00063623889736,1.9989900415561836,46.000270368021134,1.999918882430879,32.000323491333496,-0.0001971069114187,-0.0005043659640588,0.0005508009208237,300.9996480798204,23.00011601449708,-0.000478655021593,21.99976145672921,0.0001396831743121,25.99987046062617,-0.0001134858524635,3.000146819758734,0.0002431489965825,11.000057512569464,-0.0001619586114316,2.975970196690896e-05,31.99970504954995,0.9999981743041738,133.0014658527624
2020-05-13,0.5546137821590964,0.5762527479721097,0.6183098482323677,0.3067086686807502,0.6147999042351273,0.5311280595849761,0.4632889351833779,0.5339044033767997,0.6474219183617579,0.3121041980549896,0.4918848777035931,0.3074593131147101,0.4377020485100293,0.1653432571982717,0.571337049677015,0.3289706159245965,0.1712283174316582,0.7190138656196391,-0.9506646225722966,0.5844852532488484,-0.2729961811697861,1.6866955799749028,-0.6161658030185317,0.2372688406205792,-0.8442064956416485,-0.7653967392143071,-0.0957369111787187,15.555570643280406,0.5572546308072504,8.317747062803173,0.5793269019632785,8.597492422867303,2.2021057169373903,2.7847526346639286,28.25827716649748,0.2005350912538908,-0.2986630174652696,-0.0208166019199123,-0.0592816946004913,-0.0055089584684825,-0.1313130038764126,-0.0837789477735365,-0.2389953079503011,-0.0366592979577172,0.0201805516109423,-0.355546536655394,-0.019384832034276,-0.0517660272064325,-0.0032360469426406,-0.2157655392400483,-0.1837488819512104,-0.4172705046703671,-0.1118844770685043,0.0010865063699661,0.2198189081532871,0.1236607970406802,0.2630220435591406,0.1080207721512753,0.254760650332186,0.1764593301181357,0.2081768503224595,0.3987581453332896,0.1085610484134758,-0.0234054023861131,0.0294299357561102,0.0208048960153603,0.0163125822427587,0.0102795123296091,0.0327686237740783,0.0340932343793731,-0.0339659771391996,0.0088971604536215,0.999999565652453,3.993365056022041e-06,1.0000001968669472,2.658248696832759e-06,0.9999907357134664,1.7910868531884932e-06,0.9999992793061776,0.9999961306815676,-1.0082236088330632e-05,601.7201412044695,-1.267756423547639,0.6839669895087819,0.0008397448582069,120.99919477462308,2.000200588131285,0.9995907727656153,3.001022755254792,406.0001023504661,2.9999917599738577,1.9988580222997725,45.9994178317913,2.0011149229792737,32.00024018887102,0.0006598274644202,-0.0001341672777001,-0.0010405963176678,301.0002845026568,22.999928883560237,0.000474655599542,21.999685460228644,0.0001749827327687,25.99979606347551,0.0002012360832589,3.0002881073322767,0.000406602947743,10.999722091118873,0.0001011245545472,0.0001091020002611,31.99995610067623,0.9999998048216716,133.9987279523073
