,date,adm1_code,data,prediction
1324,2022-11-01,900218,0.560523021246951,0.5678429672593024
1325,2022-11-02,900218,0.5659063853054594,0.5691563611948636
1326,2022-11-03,900218,0.5719030993303922,0.5695481329207082
1327,2022-11-04,900218,0.576985673333969,0.5699657037370611
1328,2022-11-05,900218,0.580105568662574,0.5707121299096156
1329,2022-11-06,900218,0.5852899827135442,0.5709884868451167
1330,2022-11-07,900218,0.5889489024885949,0.571680315163057
1331,2022-11-08,900218,0.5910282332314472,0.5726651813351322
1332,2022-11-09,900218,0.5944141335440957,0.5730930663161684
1333,2022-11-10,900218,0.5995958252935905,0.5727248656079877
1334,2022-11-11,900218,0.6029896437699372,0.5732515289895941
1335,2022-11-12,900218,0.6060118440654552,0.5714231416099478
1336,2022-11-13,900218,0.60950434962848,0.5712651604302932
1337,2022-11-14,900218,0.6126589640711398,0.5718570818175335
1338,2022-11-15,900218,0.6171957173930567,0.5714960292429436
1339,2022-11-16,900218,0.6200691915741764,0.5714692949299474
1340,2022-11-17,900218,0.6237203214862429,0.5735714885853935
1341,2022-11-18,900218,0.6283970530770796,0.5739819392078329
1342,2022-11-19,900218,0.6310029951255529,0.573345200017165
1343,2022-11-20,900218,0.6309866504089794,0.5745375415758003
1344,2022-11-21,900218,0.6310040473415588,0.5750183643289615
1345,2022-11-22,900218,0.6293747205862047,0.5755040998087038
1346,2022-11-23,900218,0.6261929956161855,0.5747176388726343
1347,2022-11-24,900218,0.6237633275534582,0.5758480600529123
1348,2022-11-25,900218,0.6222301613720264,0.5755642846674431
1349,2022-11-26,900218,0.6200181628585961,0.5760319757723023
1350,2022-11-27,900218,0.6170262559502687,0.57595618474118
1351,2022-11-28,900218,0.6127992941028455,0.5769616676010896
1352,2022-11-29,900218,0.6091133098418481,0.5766850675903965
1353,2022-11-30,900218,0.6066888418388393,0.5776434516050626
1354,2022-12-01,900218,0.6054972534277523,0.5790679960959364
1355,2022-12-02,900218,0.6025357584842193,0.5807359873764921
1356,2022-12-03,900218,0.6011721775994721,0.5819508175813366
1357,2022-12-04,900218,0.5993129646174655,0.582024869833212
1358,2022-12-05,900218,0.5977686752092266,0.5822050062455941
1359,2022-12-06,900218,0.5965560624899152,0.5826853768416453
1360,2022-12-07,900218,0.5967067601442088,0.5835130339004804
1361,2022-12-08,900218,0.5963963412097982,0.5848562413343001
1362,2022-12-09,900218,0.597108476523281,0.586124859143119
1363,2022-12-10,900218,0.59536218217318,0.586812659490924
1364,2022-12-11,900218,0.5927705273394823,0.5878097520657588
1365,2022-12-12,900218,0.5924713482048118,0.5883626950421144
1366,2022-12-13,900218,0.5897177474826333,0.5893655841686536
1367,2022-12-14,900218,0.5874597713001635,0.5913726383336593
1368,2022-12-15,900218,0.5858304713158733,0.5912253962346126
1369,2022-12-16,900218,0.5843372638382904,0.5915100605674792
1370,2022-12-17,900218,0.5824540630556422,0.5925589477159787
1371,2022-12-18,900218,0.5795640960026265,0.5927924284227897
1372,2022-12-19,900218,0.5767594080959676,0.5941309513040591
1373,2022-12-20,900218,0.5771558778281107,0.5952873261161853
1374,2022-12-21,900218,0.5796035259709245,0.5936923002340604
1375,2022-12-22,900218,0.5822563134534928,0.5928673421480466
1376,2022-12-23,900218,0.5855937197677298,0.5936175876744796
1377,2022-12-24,900218,0.5904903881630372,0.5949180809297372
1378,2022-12-25,900218,0.594738660760525,0.5935879101493169
1379,2022-12-26,900218,0.5987797340134122,0.5941374072321464
1380,2022-12-27,900218,0.6030122075956333,0.5954171785601188
1381,2022-12-28,900218,0.6093329032134054,0.5954186239727546
1382,2022-12-29,900218,0.6155365751562937,0.5957889625319053
1383,2022-12-30,900218,0.6210311270836448,0.596598717708211
3100,2022-11-01,900219,0.6116345135089812,0.6157052888408721
3101,2022-11-02,900219,0.6148867845449014,0.6159283615522504
3102,2022-11-03,900219,0.6158053062622831,0.6159009853251696
3103,2022-11-04,900219,0.6157481226455023,0.6147208009021774
3104,2022-11-05,900219,0.615442885380491,0.6156438341238022
3105,2022-11-06,900219,0.614490248357549,0.6161710360426873
3106,2022-11-07,900219,0.6142458132863441,0.6163970584854901
3107,2022-11-08,900219,0.6135577841129111,0.616604274847959
3108,2022-11-09,900219,0.6135637489742118,0.6159578994954422
3109,2022-11-10,900219,0.6108299786643576,0.6152406380385578
3110,2022-11-11,900219,0.6035295277806334,0.6162872075908303
3111,2022-11-12,900219,0.5982731450096745,0.6175892579010174
3112,2022-11-13,900219,0.5959252046794009,0.6178448908137575
3113,2022-11-14,900219,0.5941456869621728,0.6188420818759546
3114,2022-11-15,900219,0.5951044553489857,0.6202388948401854
3115,2022-11-16,900219,0.5968061829005544,0.6216044661229894
3116,2022-11-17,900219,0.5980733083214131,0.6229020331627175
3117,2022-11-18,900219,0.6000900806335536,0.6244376918873236
3118,2022-11-19,900219,0.6010565935997034,0.6262136253169224
3119,2022-11-20,900219,0.6030046632544286,0.6256157963177607
3120,2022-11-21,900219,0.604866622126379,0.6255380001491353
3121,2022-11-22,900219,0.6085818048337039,0.6269131668484256
