,date,adm1_code,data,prediction
1470,2022-08-01,3407,0.6752744075621478,0.6507257641512734
1471,2022-08-02,3407,0.6718239483944176,0.6488649485852402
1472,2022-08-03,3407,0.6697188311835941,0.6489038595916536
1473,2022-08-04,3407,0.6665973178014772,0.6484954130589795
1474,2022-08-05,3407,0.6641719883363107,0.6473685239195657
1475,2022-08-06,3407,0.6601357318276759,0.6481669733054769
1476,2022-08-07,3407,0.6543985382246817,0.6472207914791834
1477,2022-08-08,3407,0.6497698736517918,0.6485177837764677
1478,2022-08-09,3407,0.647314335611064,0.6478595495443624
1479,2022-08-10,3407,0.6449062738435452,0.6469942824203354
1480,2022-08-11,3407,0.6421097346028104,0.6471643193378878
1481,2022-08-12,3407,0.6380254452180558,0.6467789080213588
1482,2022-08-13,3407,0.6315586046459792,0.6468926695395094
1483,2022-08-14,3407,0.6259231498410703,0.647555153512938
1484,2022-08-15,3407,0.6188925660989614,0.646575158157928
1485,2022-08-16,3407,0.6142752844931322,0.6464149520486426
1486,2022-08-17,3407,0.6109387869687498,0.6468464608058166
1487,2022-08-18,3407,0.6080817835187846,0.6473916465636176
1488,2022-08-19,3407,0.604669563859899,0.646973974233104
1489,2022-08-20,3407,0.602824969051053,0.6484456881169063
1490,2022-08-21,3407,0.6013178590385838,0.6485859406400305
1491,2022-08-22,3407,0.6010125557057735,0.649590583912639
1492,2022-08-23,3407,0.6015789569509948,0.6497634734130298
1493,2022-08-24,3407,0.6018291751865178,0.6505493767197077
1494,2022-08-25,3407,0.601477057897908,0.6504830175997522
1495,2022-08-26,3407,0.6005322707885464,0.6502871600403051
1496,2022-08-27,3407,0.5995018967694647,0.6504249929146209
1497,2022-08-28,3407,0.5977222912852833,0.6497367786230352
1498,2022-08-29,3407,0.5980918553557231,0.6493357348242608
1499,2022-08-30,3407,0.596498906673871,0.648844453435002
1500,2022-08-31,3407,0.5950819704862413,0.6474541925579143
1501,2022-09-01,3407,0.5930539839835385,0.6463086713790727
1502,2022-09-02,3407,0.5922819250783892,0.6461970891557467
1503,2022-09-03,3407,0.5908702982428593,0.6458002479500902
1504,2022-09-04,3407,0.591340624186283,0.644880543624593
1505,2022-09-05,3407,0.5924271269858137,0.6455525394283068
1506,2022-09-06,3407,0.5958056944870613,0.6458037553109062
1507,2022-09-07,3407,0.6015375536904971,0.6465482187211347
1508,2022-09-08,3407,0.605768094014513,0.6456201022244823
1509,2022-09-09,3407,0.6111324704257373,0.6454453097410333
1510,2022-09-10,3407,0.6179727176315465,0.6444203804001045
