,date,adm1_code,data,prediction,split,forecast_step
1475,2023-04-01,900218,0.648614816269123,0.6374967779221569,11,1
1476,2023-04-02,900218,0.6507362076697929,0.6313511785238617,11,2
1477,2023-04-03,900218,0.652949058011978,0.6245615136511207,11,3
1478,2023-04-04,900218,0.651758413792723,0.6185086279801797,11,4
1479,2023-04-05,900218,0.6491190789286597,0.6128256732315124,11,5
1480,2023-04-06,900218,0.6457341662031653,0.6062475256613291,11,6
1481,2023-04-07,900218,0.6448192584401681,0.6008325330307562,11,7
1482,2023-04-08,900218,0.6420605147515525,0.5954951991128714,11,8
1483,2023-04-09,900218,0.6388814583522147,0.589946737066454,11,9
1484,2023-04-10,900218,0.6337501071524697,0.5844520595876797,11,10
1485,2023-04-11,900218,0.6271591717662743,0.5788926787942155,11,11
1486,2023-04-12,900218,0.6158515152221787,0.5733107858644692,11,12
1487,2023-04-13,900218,0.6029761064892559,0.5679833293253402,11,13
1488,2023-04-14,900218,0.5915081151028794,0.5629195068178979,11,14
1489,2023-04-15,900218,0.5787631411476177,0.5578424241022724,11,15
1490,2023-04-16,900218,0.5698496542351247,0.5528814622811292,11,16
1491,2023-04-17,900218,0.5565677275535551,0.5477797121796988,11,17
1492,2023-04-18,900218,0.5475108457695839,0.5429429717760664,11,18
1493,2023-04-19,900218,0.53788085096695,0.5378682610674526,11,19
1494,2023-04-20,900218,0.5270565879769495,0.5329529768562036,11,20
1495,2023-04-21,900218,0.518893533750933,0.5285571458240331,11,21
1496,2023-04-22,900218,0.5131525368758113,0.5235401097854286,11,22
1497,2023-04-23,900218,0.5089178643660208,0.5219071137297563,11,23
1498,2023-04-24,900218,0.5062731594757937,0.5193645376014479,11,24
1499,2023-04-25,900218,0.5033317298933491,0.5164727818066772,11,25
1500,2023-04-26,900218,0.4961912463024725,0.5118160158877882,11,26
1501,2023-04-27,900218,0.4889305675642898,0.5096269466154895,11,27
1502,2023-04-28,900218,0.4798210922645846,0.5074894237327352,11,28
1503,2023-04-29,900218,0.47156789605026095,0.5061379210407215,11,29
1504,2023-04-30,900218,0.46700386428724805,0.5043782386743676,11,30
1505,2023-05-01,900218,0.46205895788205514,0.5034943213376091,11,31
1506,2023-05-02,900218,0.4602685809075703,0.499589474414651,11,32
1507,2023-05-03,900218,0.45926072896699255,0.49963094996725377,11,33
1508,2023-05-04,900218,0.45914484244063997,0.4974911512382158,11,34
1509,2023-05-05,900218,0.460758618327303,0.4977402457917667,11,35
1510,2023-05-06,900218,0.46346139279449294,0.49669655845875404,11,36
1511,2023-05-07,900218,0.4691249464978292,0.4966891445527576,11,37
1512,2023-05-08,900218,0.47402238107987926,0.4960821867636891,11,38
1513,2023-05-09,900218,0.48023622273214306,0.4948974005180181,11,39
1514,2023-05-10,900218,0.4860499560275004,0.4935184516441489,11,40
1515,2023-05-11,900218,0.4930610299146533,0.49469735336493653,11,41
1516,2023-05-12,900218,0.4964290682569292,0.4931951096526155,11,42
1517,2023-05-13,900218,0.498183261027554,0.49333329137871357,11,43
1518,2023-05-14,900218,0.4986105807905711,0.49479769254461803,11,44
1519,2023-05-15,900218,0.4990903685156957,0.4970725029744202,11,45
1520,2023-05-16,900218,0.502542935645264,0.5000781693866858,11,46
1521,2023-05-17,900218,0.5050782047812324,0.5013995096487209,11,47
1522,2023-05-18,900218,0.5100596825138304,0.5028617959527026,11,48
1523,2023-05-19,900218,0.5127032799533902,0.5046451897408288,11,49
1524,2023-05-20,900218,0.5143981339457746,0.5078303265628858,11,50
1525,2023-05-21,900218,0.515610512621531,0.5102313777700423,11,51
1526,2023-05-22,900218,0.5182061007679305,0.512179286950029,11,52
1527,2023-05-23,900218,0.5211473028970635,0.514267225380497,11,53
1528,2023-05-24,900218,0.5244806104924777,0.5156799899550637,11,54
1529,2023-05-25,900218,0.526717212501739,0.517251622894304,11,55
1530,2023-05-26,900218,0.5263890740227027,0.5179400126195838,11,56
1531,2023-05-27,900218,0.5267707265656957,0.5202616439156724,11,57
1532,2023-05-28,900218,0.5275992319692313,0.5220047893628671,11,58
1533,2023-05-29,900218,0.5293503110382598,0.5232782901454937,11,59
3251,2023-04-01,900219,0.6603183164957542,0.6643984288901637,11,1
3252,2023-04-02,900219,0.6610398014617003,0.6625281128406685,11,2
3253,2023-04-03,900219,0.6625551861175288,0.6600011041406479,11,3
3254,2023-04-04,900219,0.662017571904825,0.6562687519583119,11,4
3255,2023-04-05,900219,0.6599870806069766,0.6529261999611231,11,5
3256,2023-04-06,900219,0.6583920038819316,0.6490689438553442,11,6
3257,2023-04-07,900219,0.6556562509571857,0.644445820834158,11,7
3258,2023-04-08,900219,0.6535363928635315,0.6404993888847577,11,8
3259,2023-04-09,900219,0.6491037318034515,0.636435871918341,11,9
3260,2023-04-10,900219,0.644811206540527,0.6329909669320506,11,10
3261,2023-04-11,900219,0.640501378083795,0.6289631469342957,11,11
3262,2023-04-12,900219,0.6366283380177272,0.6252425720714877,11,12
3263,2023-04-13,900219,0.6311861635617304,0.6213376413193769,11,13
3264,2023-04-14,900219,0.6250570812207284,0.6173763272862973,11,14
3265,2023-04-15,900219,0.6177087726153223,0.6130943959062882,11,15
3266,2023-04-16,900219,0.6099251337481139,0.6089853812174462,11,16
3267,2023-04-17,900219,0.6020192495084807,0.60507840472583,11,17
3268,2023-04-18,900219,0.5958962404071213,0.6014806175539549,11,18
3269,2023-04-19,900219,0.592752388070056,0.5978619502384949,11,19
3270,2023-04-20,900219,0.5922932483444305,0.5941106924288047,11,20
3271,2023-04-21,900219,0.5932579356917731,0.5900114970253633,11,21
3272,2023-04-22,900219,0.5926866594767177,0.5860266572868976,11,22
3273,2023-04-23,900219,0.590837097132092,0.5831453401155456,11,23
3274,2023-04-24,900219,0.5902121490163472,0.5822289385921633,11,24
3275,2023-04-25,900219,0.5874921841279642,0.5806224952254719,11,25
3276,2023-04-26,900219,0.5855125304631352,0.5805619511918239,11,26
3277,2023-04-27,900219,0.583478039229193,0.5803741827891116,11,27
3278,2023-04-28,900219,0.5790445243245702,0.5811810372147415,11,28
3279,2023-04-29,900219,0.5748541961526954,0.5814274874499918,11,29
3280,2023-04-30,900219,0.567838941993694,0.5824459318125919,11,30
3281,2023-05-01,900219,0.5615401831899752,0.5846159410839931,11,31
3282,2023-05-02,900219,0.5565472112350385,0.587247852858839,11,32
3283,2023-05-03,900219,0.5555881078982556,0.5885522620254516,11,33
3284,2023-05-04,900219,0.553494518924841,0.5921441359040183,11,34
3285,2023-05-05,900219,0.5562587462815582,0.5951123437365398,11,35
3286,2023-05-06,900219,0.5582830308331679,0.5963105353868987,11,36
3287,2023-05-07,900219,0.5609524807420917,0.5960245777044475,11,37
3288,2023-05-08,900219,0.5627885915475319,0.5962264620553642,11,38
3289,2023-05-09,900219,0.5633134161409585,0.5954055210556142,11,39
3290,2023-05-10,900219,0.5647388560979409,0.596599248518223,11,40
3291,2023-05-11,900219,0.564180283701811,0.5954743299850289,11,41
3292,2023-05-12,900219,0.5632999938981993,0.5942154579830601,11,42
3293,2023-05-13,900219,0.5587302114041555,0.5930524093927506,11,43
3294,2023-05-14,900219,0.554389976691749,0.5901477258838997,11,44
3295,2023-05-15,900219,0.5517332374200999,0.5868416339373014,11,45
3296,2023-05-16,900219,0.5507262682695921,0.5877474157293625,11,46
3297,2023-05-17,900219,0.5522942855719596,0.5875212506168568,11,47
3298,2023-05-18,900219,0.5566009927819693,0.5873607523687938,11,48
3299,2023-05-19,900219,0.5609680715734138,0.5860092183314021,11,49
3300,2023-05-20,900219,0.5652816836890844,0.5865891102743135,11,50
3301,2023-05-21,900219,0.5681419383501034,0.5863337606999599,11,51
3302,2023-05-22,900219,0.5725866073194587,0.5869700779074017,11,52
3303,2023-05-23,900219,0.577695710171076,0.5871001614144403,11,53
