date,p,q,rmse
2022-06-01,2.0,3.0,0.12268217668736879
2022-07-01,3.0,3.0,0.056900798278473094
2022-08-01,3.0,9.0,0.08464935281688386
2022-09-01,3.0,3.0,0.07732137487798901
2022-10-01,3.0,3.0,0.06773902268053988
2022-11-01,3.0,3.0,0.0770608786350459
2022-12-01,3.0,3.0,0.09146358843516819
2023-01-01,3.0,3.0,0.08006122253339747
2023-02-01,3.0,3.0,0.06250675764188618
2023-03-01,1.0,7.0,0.05374695220310656
2023-04-01,1.0,7.0,0.06102875092076825
2023-05-01,1.0,3.0,0.0578662043496337
