,date,adm1_code,data,prediction,split,forecast_step
1061,2023-04-01,1926,0.7398414325916307,0.7400072227126002,11,1
1062,2023-04-02,1926,0.7362368975775149,0.7381269443943375,11,2
1063,2023-04-03,1926,0.7333175684474863,0.7364147650736104,11,3
1064,2023-04-04,1926,0.7293153290284454,0.7348482013079499,11,4
1065,2023-04-05,1926,0.7246276255786469,0.7334066685623363,11,5
1066,2023-04-06,1926,0.7208017129490388,0.7321048107217488,11,6
1067,2023-04-07,1926,0.7181214442581563,0.7309237023961217,11,7
1068,2023-04-08,1926,0.7160036466610091,0.7299122976352541,11,8
1069,2023-04-09,1926,0.7161026421498373,0.7289258157821088,11,9
1070,2023-04-10,1926,0.7162993654477969,0.7280584946741002,11,10
1071,2023-04-11,1926,0.7156213815858247,0.7273109883196671,11,11
1072,2023-04-12,1926,0.7154305146321284,0.726543517373308,11,12
1073,2023-04-13,1926,0.7153401004188151,0.7259326532885786,11,13
1074,2023-04-14,1926,0.7143194758650149,0.7253639409282988,11,14
1075,2023-04-15,1926,0.7133899197507902,0.7247739647222824,11,15
1076,2023-04-16,1926,0.7109130898870578,0.7241719454110827,11,16
1077,2023-04-17,1926,0.708637658161568,0.7236910471471729,11,17
1078,2023-04-18,1926,0.7089625574525554,0.7232464921123114,11,18
1079,2023-04-19,1926,0.7089581017480493,0.7228338500804636,11,19
1080,2023-04-20,1926,0.7079988572332818,0.7224499971001599,11,20
1081,2023-04-21,1926,0.7065337621954376,0.7220316000891784,11,21
1082,2023-04-22,1926,0.7043938128746496,0.7216873980054577,11,22
1083,2023-04-23,1926,0.7015506998892318,0.7213880403413218,11,23
1084,2023-04-24,1926,0.6998947576047135,0.7210734721937947,11,24
1085,2023-04-25,1926,0.6985190808969846,0.7207909543236528,11,25
1086,2023-04-26,1926,0.6991244234394897,0.7205225690382995,11,26
1087,2023-04-27,1926,0.6982875104680858,0.7203743124799304,11,27
1088,2023-04-28,1926,0.6936855295599622,0.7201684523784392,11,28
1089,2023-04-29,1926,0.6891019762485341,0.7199665283497109,11,29
1090,2023-04-30,1926,0.6854792021330514,0.7198238803657375,11,30
1091,2023-05-01,1926,0.6823621078544054,0.7196750681462121,11,31
1092,2023-05-02,1926,0.6797950297795994,0.7194999115339166,11,32
1093,2023-05-03,1926,0.6773746172515638,0.7193339720161223,11,33
1094,2023-05-04,1926,0.6725824719179015,0.7191763733248516,11,34
1095,2023-05-05,1926,0.6695138555071007,0.7190178100195523,11,35
1096,2023-05-06,1926,0.6658795369622764,0.718884383550944,11,36
1097,2023-05-07,1926,0.6615711094855774,0.718746028558682,11,37
1098,2023-05-08,1926,0.659317297437646,0.7185967955112942,11,38
1099,2023-05-09,1926,0.6584422505755446,0.7184318466915709,11,39
1100,2023-05-10,1926,0.6575611478532147,0.7182989934651994,11,40
1101,2023-05-11,1926,0.6566800299570503,0.7181815916022835,11,41
1102,2023-05-12,1926,0.6555082553315288,0.7180689849498646,11,42
1103,2023-05-13,1926,0.6548934702313056,0.7179595965846516,11,43
1104,2023-05-14,1926,0.6577101523934986,0.7178531033910878,11,44
1105,2023-05-15,1926,0.6593985968931124,0.7177492158006835,11,45
1106,2023-05-16,1926,0.6606856666210151,0.7176597952005684,11,46
1107,2023-05-17,1926,0.6631167304924711,0.7175760788780359,11,47
1108,2023-05-18,1926,0.6624556216351326,0.7174939054933002,11,48
1109,2023-05-19,1926,0.659134624215749,0.7174131512785591,11,49
1110,2023-05-20,1926,0.6567955179100249,0.7173337095591593,11,50
1111,2023-05-21,1926,0.6542770803374014,0.7172554887554647,11,51
1112,2023-05-22,1926,0.6525607876401966,0.7171784105894026,11,52
1113,2023-05-23,1926,0.6511198163870243,0.7170936622134512,11,53
1114,2023-05-24,1926,0.6483426388438289,0.7170033242370486,11,54
1115,2023-05-25,1926,0.6459914779418743,0.7169143790926498,11,55
1116,2023-05-26,1926,0.6447822980000878,0.7168267635813834,11,56
