,FCS,FCS,FCS,rCSI,rCSI,rCSI,PEWI,PEWI,PEWI,rainfall,rainfall,rainfall,log rainfall 3 months anomaly,log rainfall 3 months anomaly,log rainfall 3 months anomaly,log rainfall 1 month anomaly,log rainfall 1 month anomaly,log rainfall 1 month anomaly,NDVI,NDVI,NDVI,log NDVI anomaly,log NDVI anomaly,log NDVI anomaly,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,rainfall_ndvi_seasonality,CE official,headline inflation,food inflation,Battles,Battles,Battles,Violence against civilians,Violence against civilians,Violence against civilians,Remote violence,Remote violence,Remote violence,Ramadan,day of the year,lean season
,2211,2216,2240,2211,2216,2240,2211,2216,2240,2211,2216,2240,2211,2216,2240,2211,2216,2240,2211,2216,2240,2211,2216,2240,2211,2216,2240,national,national,national,2211,2216,2240,2211,2216,2240,2211,2216,2240,national,national,national
2019-02-13,0.3034497592145562,0.3877927352582571,0.3425358160214998,0.3789224841096771,0.3354225919094767,0.424270468888562,-0.1316690680519462,-0.4586288419861746,-0.0026100015194221,0.0432673585948206,-0.0003584130028972,-0.0003660761412827,0.0060329621597714,-2.9827461671187554e-06,2.2870665747932808e-08,0.0001686377126462,6.429091233990503e-07,-1.8143212445451984e-06,0.2711117713810368,0.2340006235607437,0.2029243470550764,-0.0019856828881688,0.0282177783745533,-0.0056861067525238,-4.382854877325094e-06,2.2697455425091197e-07,5.4393673671228594e-06,305.74999982690207,11.3099639058273,13.47000416419616,15.00023810638736,360.9991440618149,110.99985255593737,2.000257774226621,109.00000447869922,0.0003205183351114,-0.0008076499232575,71.99944823012828,0.0005805005562957,4.459646347901593e-07,44.00151220116333,3.1741236957358403e-06
2019-02-14,0.3059522857253813,0.3952804280927698,0.3473572941977325,0.3761606724025618,0.3404440515086623,0.4256572407662645,-0.1369828514247857,-0.4591720872564682,-0.0010630633096885,0.0432164271426255,-0.0003482713777355,-0.0008917228450274,0.0059889621178537,-7.39491546546877e-07,-1.870093555322414e-06,0.00014634844798,-3.25297743045329e-07,1.7202386225012908e-06,0.270407841032478,0.2331510562709267,0.2021679793408193,-0.0014535319751555,0.0277221943835629,-0.0062611989959385,-4.503535980239211e-06,7.778699100078367e-06,-1.072828298440354e-07,305.69874235851864,11.308005874998358,13.469372714846656,18.00006918122688,360.0009986943496,110.99993004609284,2.000381236870973,108.9997587633059,-0.0003173937499745,0.0004383962125005,72.00026308320722,-6.71683012128058e-05,-9.7164563568425e-07,45.00118376517748,-5.434837475553862e-06
2019-02-15,0.2999695773886054,0.4107740313894782,0.3398519543419024,0.3745350293273711,0.3493055669052771,0.434733245621049,-0.1423020570231607,-0.4597587779901706,0.0004628322710135,0.0442853395332973,-0.0002486096794878,-4.879960486089077e-06,0.0059503531555969,-3.787193722470605e-06,2.462663355500099e-06,0.0001231139727449,-4.51846986673886e-06,3.1076962459193888e-06,0.2696984954613893,0.2323016347043603,0.2014011881829941,-0.0009193617788975,0.0272268021259551,-0.0068361721369425,1.3106606940057418e-05,2.2954173400788197e-06,-8.290129518715672e-06,305.7503909950661,11.30620528129134,13.468693821123033,18.001227932655123,357.9995616260978,110.99932825083648,1.9999507294565848,111.99989331810768,-0.0004334478026578,0.0005304768693063,71.99989772500574,0.0009329838830861,-7.520010886114671e-06,46.00097539205799,-8.189168221559166e-06
2019-02-16,0.3135619794203069,0.4110475857425069,0.33844435658509,0.3558366483180845,0.3452251642037557,0.4222627756149063,-0.1476298034687003,-0.4603125271132638,0.0019916230350093,0.1804479512287125,0.0012384989430349,-0.0007626888936156,0.0151789923883542,0.0001020032963248,5.204973142971822e-06,0.0101285725607224,0.0001009149672978,8.807509794168064e-07,0.2696506467030772,0.2320389169208744,0.2011988639205712,7.354369086425693e-05,0.0273501815095046,-0.0067926753708679,-5.802780962251836e-06,-6.080123815905677e-07,5.4684393948212005e-06,305.7328949592173,11.304195917363812,13.468067415639894,18.000893445957182,316.99877370671186,119.99973333659996,1.9998197543015068,119.99958767537396,0.0001507011765034,-0.0002871079609785,91.00016440271176,0.0001389402920113,-3.980517021216894e-06,47.00143113344064,-2.5236177536969694e-06
2019-02-17,0.3033283145398467,0.4002815922189113,0.3450200907452559,0.3611729219491923,0.3400139039122867,0.4432456035085136,-0.1529606314506088,-0.4608671191712715,0.0035216542106529,0.316234389435944,0.0022397948141804,2.2487447460046257e-06,0.0244143783177068,0.0002124129800769,6.965065529292776e-07,0.0201314258200346,0.0002074567339886,4.081264316423206e-06,0.26959879085537,0.2317807448696542,0.2009891766703215,0.0010662979800384,0.0274733024256314,-0.0067509215276742,-3.412944536204172e-06,1.202479767849892e-05,4.120770924917543e-06,305.71688538778585,11.302310662760997,13.467358341061846,17.9990183315098,319.0001594084741,120.00004563722278,1.9998667138578463,109.99999855771674,0.0003689134307019,-0.0010732240035963,91.0001507514046,-0.0003606647682603,-2.426721255813419e-07,47.999931489042986,5.621863410689707e-07
2019-02-18,0.300901240491604,0.3999083106834787,0.3446701385204059,0.3560378731865022,0.3419556478982363,0.4370927064206257,-0.1582759574850639,-0.4614327291546168,0.0050454670017165,0.452747614827998,0.0040301100371846,-0.0010869544604585,0.0336519464581814,0.0003150233330153,2.2841474790554703e-06,0.030137526831571,0.0003150388696089,-4.153219923500264e-06,0.2695493710243613,0.2315187992307638,0.2007862133803547,0.0020594212859059,0.0275964751519203,-0.0067068445381291,-8.356969366746848e-06,-1.824523745321366e-06,-1.891535013874069e-06,305.7011308317949,11.300286753326423,13.466719972721377,18.000843664263034,313.9989322423838,119.9986601176332,1.99949971677568,127.99973870814998,3.227613753111235e-05,-0.0005327939281187,100.99892466902786,-9.650351113889764e-05,-1.6904410128484448e-06,48.99910505200799,-3.7350270145711465e-06
2019-02-19,0.3106482203249426,0.4171993494627694,0.3577670313351157,0.3440429620735045,0.3347543736521668,0.4284221613759789,-0.1636117659137056,-0.4619997858047059,0.0065612055390617,0.5888409341929893,0.0048004650713147,0.0004424792444497,0.0428806085634879,0.0004196666954698,-5.988379237086946e-07,0.0401477356190481,0.0004254170737386,-1.4884325469365653e-06,0.2695020291891122,0.2312578079758647,0.200581868099212,0.0030524167485114,0.0277187136620633,-0.0066632568852544,-1.3377830737997031e-06,1.295961825133942e-06,1.341601792749916e-06,305.77849083374616,11.298343695346588,13.46608677721828,17.999673433230793,314.0005000169782,119.99953719144575,1.999449528871846,128.00007697456482,0.0004866820644889,-0.0002996326794777,100.99953800097563,-0.0001391121805623,-1.8001586030410328e-06,49.99986462337117,4.3679548382406206e-08
2019-02-20,0.314536318178409,0.4213470171612174,0.3508872243324236,0.3476184082686489,0.3324560240483634,0.4308857215105154,-0.1689207250245155,-0.4625569725548624,0.0080993000211163,0.7254714414715983,0.0059630008147471,-0.0005220453188424,0.0521166812556595,0.0005310149772175,1.2933240935054904e-06,0.0501505915419407,0.0005272404492863,-1.4387525441418282e-06,0.2694508572154912,0.2310020033268252,0.2003735486960348,0.0040453283118466,0.0278426213288222,-0.0066197683573282,-3.58515358343656e-07,-9.699551626872088e-06,8.001695662320142e-06,305.77988495893385,11.296457807639706,13.465487411143863,18.0008288804603,314.000614284257,119.99966008851936,2.0003265505730967,128.00017675549853,-0.0002047478536886,0.0005341218220216,101.00000744436396,0.0003627393051281,-1.0069951306412685e-06,51.00113079525447,-7.243272882591831e-06
2019-02-21,0.3011939650652626,0.4208130567134944,0.3416816724910971,0.3384615634767803,0.3251608726472474,0.4224547817978222,-0.1742460529662781,-0.4631282358704242,0.0096245788151407,0.8625179592463514,0.0076326095283613,-0.0001621866703598,0.0613520710299045,0.0006345894006714,-1.020849434486738e-06,0.0601598393356496,0.0006325941975944,2.3012819044002395e-06,0.2694007423103201,0.2307393537878918,0.200171628974645,0.0050386089473897,0.0279660739452718,-0.0065767778330124,-1.9059151212148348e-06,-2.144472007397121e-06,-5.060799280995284e-06,305.80018382851114,11.29457116540284,13.464819101535518,18.00055440579097,302.9996360376812,119.99984210903658,1.999707254006866,128.00063258266724,-0.0004089496278038,-0.0002401480706121,101.00032791800898,0.00056865532209,1.6575465932648769e-06,51.99886405429172,4.091772136207773e-06
